obsid,obi,date
58684,0,'Nov 25 2006  6:19AM'
62344,0,'Nov 20 2009  5:34AM'
57586,0,'Sep 29 2008  2:15PM'
258,2,'Sep 14 2007  7:42PM'
1393,0,'Nov 20 2009 10:28AM'
672,0,'Nov 26 2009  3:23AM'
62385,0,'Jun  6 2001  2:22PM'
417,0,'Dec  2 2009  6:20AM'
239,0,'Dec  4 2009  8:26PM'
1297,0,'Jan 12 2010  1:30PM'
62217,0,'Dec  4 2009  8:54PM'
749,0,'Nov 26 2009  1:55AM'
810,0,'May 17 2007 11:05PM'
55821,0,'Dec  5 2010  1:30PM'
4465,0,'Feb  4 2009 11:43PM'
26,0,'Jul 14 2007  3:12AM'
62324,0,'Nov 21 2009  4:09AM'
1111,0,'Jan 13 2010  3:26AM'
1195,0,'Jan 13 2010  1:08AM'
335,0,'May  8 2007  3:26AM'
649,0,'May 18 2007 12:25AM'
4,0,'Nov 24 2009  8:05AM'
821,0,'Jul 14 2007  6:04AM'
59897,0,'Apr  7 2006  6:38AM'
56185,0,'Jun 16 2010 12:20AM'
1244,1,'Jan 13 2010  4:22AM'
58845,0,'Aug  9 2006 12:04AM'
57582,0,'Sep 29 2008  2:16PM'
62334,0,'Nov 20 2009  1:17PM'
60054,0,'Apr 19 2006  7:48AM'
128,0,'May 17 2007 11:09PM'
216,1,'Dec 15 2009 11:11PM'
1119,0,'Jan 12 2010  1:36PM'
1144,0,'Jan 12 2010  6:28PM'
62423,0,'Jan 13 2010  6:55AM'
498,0,'Nov 25 2009  8:36AM'
62325,0,'Nov 21 2009  3:55AM'
816,2,'May 10 2007  5:20AM'
73,0,'May 11 2007  1:13PM'
59472,0,'Mar 23 2006 11:16AM'
395,1,'Nov 21 2009  3:52AM'
62099,0,'May 11 2007 11:47AM'
1452,0,'Sep  3 2000 11:04PM'
62103,0,'May 10 2007  6:23AM'
799,0,'Nov 29 2009  2:43PM'
56961,0,'Jul 12 2009 12:05PM'
60635,0,'Jul 14 2006  7:26AM'
62089,0,'May 11 2007  6:21PM'
60658,0,'Jul 14 2006  1:21AM'
3,0,'Nov 20 2009  1:48PM'
58085,0,'Dec 11 2007  4:14PM'
1436,0,'Nov 24 2009  7:10AM'
505,0,'May 25 2007  4:28AM'
62229,0,'Dec  2 2009  3:55AM'
62337,0,'Nov 20 2009 10:10AM'
62343,0,'Nov 20 2009  5:35AM'
548,0,'Sep 15 2007  7:58AM'
